date,store_id,segment,treated,period,baseline_sales,observed_sales
2025-10-01,0,urban,0,pre,36.38418869156667,41.39704467351551
2025-10-02,0,urban,0,pre,36.38418869156667,47.83992850473449
2025-10-03,0,urban,0,pre,38.24964593653542,31.536626347198865
2025-10-04,0,urban,0,pre,40.21074721969634,46.12451538135589
2025-10-05,0,urban,0,pre,39.41452107741965,48.706826803709255
2025-10-06,0,urban,0,pre,36.38418869156667,25.594728348253035
2025-10-07,0,urban,0,pre,36.38418869156667,28.716808149137208
2025-10-08,0,urban,0,pre,36.38418869156667,24.198432736636306
2025-10-09,0,urban,0,pre,36.38418869156667,34.47563824503941
2025-10-10,0,urban,0,pre,38.24964593653542,44.15219995119701
2025-10-11,0,urban,0,pre,40.21074721969634,54.30442493241355
2025-10-12,0,urban,0,pre,39.41452107741965,40.002952334490374
2025-10-13,0,urban,0,pre,36.38418869156667,50.39325883122299
2025-10-14,0,urban,0,pre,36.38418869156667,27.608232632333994
2025-10-15,0,urban,0,pre,36.38418869156667,25.879672520817135
2025-10-16,0,urban,0,pre,36.38418869156667,35.982214110620774
2025-10-17,0,urban,0,pre,38.24964593653542,41.303506249939495
2025-10-18,0,urban,0,pre,40.21074721969634,39.948668961579536
2025-10-19,0,urban,0,pre,39.41452107741965,26.06636754758063
2025-10-20,0,urban,0,pre,36.38418869156667,35.7414219811674
2025-10-21,0,urban,0,pre,36.38418869156667,28.02902004322662
2025-10-01,1,suburban,0,pre,46.03177163664317,52.628950369720954
2025-10-02,1,suburban,0,pre,46.03177163664317,49.53361326834066
2025-10-03,1,suburban,0,pre,48.391871036584625,40.099180133774354
2025-10-04,1,suburban,0,pre,50.872975320317494,45.90428474894255
2025-10-05,1,suburban,0,pre,49.86562291614251,40.34587429163177
2025-10-06,1,suburban,0,pre,46.03177163664317,45.45832746409172
2025-10-07,1,suburban,0,pre,46.03177163664317,55.72117910427797
2025-10-08,1,suburban,0,pre,46.03177163664317,37.795371066175214
2025-10-09,1,suburban,0,pre,46.03177163664317,50.91416364180211
2025-10-10,1,suburban,0,pre,48.391871036584625,43.52259907481755
2025-10-11,1,suburban,0,pre,50.872975320317494,43.41292810599393
2025-10-12,1,suburban,0,pre,49.86562291614251,48.80953942794907
2025-10-13,1,suburban,0,pre,46.03177163664317,37.422921137823096
2025-10-14,1,suburban,0,pre,46.03177163664317,41.20674616242799
2025-10-15,1,suburban,0,pre,46.03177163664317,36.22524557382695
2025-10-16,1,suburban,0,pre,46.03177163664317,68.18856433452815
2025-10-17,1,suburban,0,pre,48.391871036584625,48.734371246157394
2025-10-18,1,suburban,0,pre,50.872975320317494,44.22926810342722
2025-10-19,1,suburban,0,pre,49.86562291614251,52.04599401729124
2025-10-20,1,suburban,0,pre,46.03177163664317,45.0091695094362
2025-10-21,1,suburban,0,pre,46.03177163664317,44.04174463802566
2025-10-01,2,suburban,1,pre,61.52331594044436,69.5641649928001
2025-10-02,2,suburban,1,pre,61.52331594044436,71.58730587190023
2025-10-03,2,suburban,1,pre,64.67768380139945,58.166872661409634
2025-10-04,2,suburban,1,pre,67.993779560959,60.59743562847877
2025-10-05,2,suburban,1,pre,66.64741251876401,63.08013388251807
2025-10-06,2,suburban,1,pre,61.52331594044436,38.82374294315101
2025-10-07,2,suburban,1,pre,61.52331594044436,45.439329178525725
2025-10-08,2,suburban,1,pre,61.52331594044436,80.86580702575115
2025-10-09,2,suburban,1,pre,61.52331594044436,85.49088539110711
2025-10-10,2,suburban,1,pre,64.67768380139945,61.53517829247685
2025-10-11,2,suburban,1,pre,67.993779560959,76.30417206589645
2025-10-12,2,suburban,1,pre,66.64741251876401,70.92806928627165
2025-10-13,2,suburban,1,pre,61.52331594044436,113.88536651968363
2025-10-14,2,suburban,1,pre,61.52331594044436,76.9634940538151
2025-10-15,2,suburban,1,pre,61.52331594044436,59.969296464304726
2025-10-16,2,suburban,1,pre,61.52331594044436,50.82092279463485
2025-10-17,2,suburban,1,pre,64.67768380139945,46.90512572046914
2025-10-18,2,suburban,1,pre,67.993779560959,70.8176987016049
2025-10-19,2,suburban,1,pre,66.64741251876401,57.291145036295106
2025-10-20,2,suburban,1,pre,61.52331594044436,46.29182974026934
2025-10-21,2,suburban,1,pre,61.52331594044436,54.060384165256174
2025-10-01,3,suburban,1,pre,38.555823524553404,31.056171604796823
2025-10-02,3,suburban,1,pre,38.555823524553404,54.02978560666122
2025-10-03,3,suburban,1,pre,40.532622868337754,48.34849548172547
2025-10-04,3,suburban,1,pre,42.61077488179335,42.542884937523965
2025-10-05,3,suburban,1,pre,41.76702500770665,56.15389129527566
2025-10-06,3,suburban,1,pre,38.555823524553404,39.15706297928189
2025-10-07,3,suburban,1,pre,38.555823524553404,32.454863625673354
2025-10-08,3,suburban,1,pre,38.555823524553404,52.28617356016069
2025-10-09,3,suburban,1,pre,38.555823524553404,42.94366590465618
2025-10-10,3,suburban,1,pre,40.532622868337754,32.93901830961454
2025-10-11,3,suburban,1,pre,42.61077488179335,41.01916584750561
2025-10-12,3,suburban,1,pre,41.76702500770665,35.05728725404629
2025-10-13,3,suburban,1,pre,38.555823524553404,29.24027987833276
2025-10-14,3,suburban,1,pre,38.555823524553404,46.402004665527016
2025-10-15,3,suburban,1,pre,38.555823524553404,56.485867882095754
2025-10-16,3,suburban,1,pre,38.555823524553404,29.148213895197422
2025-10-17,3,suburban,1,pre,40.532622868337754,45.36319076680926
2025-10-18,3,suburban,1,pre,42.61077488179335,37.411518525412475
2025-10-19,3,suburban,1,pre,41.76702500770665,37.88980490517999
2025-10-20,3,suburban,1,pre,38.555823524553404,34.248006818798835
2025-10-21,3,suburban,1,pre,38.555823524553404,32.437300118436866
2025-10-01,4,urban,1,pre,31.13403427448182,31.437639840972817
2025-10-02,4,urban,1,pre,31.13403427448182,26.36695567579384
2025-10-03,4,urban,1,pre,32.73031034634321,34.5494950701299
2025-10-04,4,urban,1,pre,34.40842924252776,34.064437399622705
2025-10-05,4,urban,1,pre,33.72709669409507,32.153199419380684
2025-10-06,4,urban,1,pre,31.13403427448182,25.966022022722157
2025-10-07,4,urban,1,pre,31.13403427448182,27.741994285929074
2025-10-08,4,urban,1,pre,31.13403427448182,36.211611086470676
2025-10-09,4,urban,1,pre,31.13403427448182,34.4147416185685
2025-10-10,4,urban,1,pre,32.73031034634321,26.91787385478616
2025-10-11,4,urban,1,pre,34.40842924252776,35.098838247728494
2025-10-12,4,urban,1,pre,33.72709669409507,39.196168323024324
2025-10-13,4,urban,1,pre,31.13403427448182,22.296294846014405
2025-10-14,4,urban,1,pre,31.13403427448182,34.708118043068154
2025-10-15,4,urban,1,pre,31.13403427448182,27.269716988942626
2025-10-16,4,urban,1,pre,31.13403427448182,34.8977132521813
2025-10-17,4,urban,1,pre,32.73031034634321,28.096632777418165
2025-10-18,4,urban,1,pre,34.40842924252776,23.982518050196294
2025-10-19,4,urban,1,pre,33.72709669409507,24.35636186367559
2025-10-20,4,urban,1,pre,31.13403427448182,31.434894315083696
2025-10-21,4,urban,1,pre,31.13403427448182,32.79401636419429
2025-10-01,5,urban,1,pre,26.34525528869401,21.986417334539286
2025-10-02,5,urban,1,pre,26.34525528869401,29.93435105235659
2025-10-03,5,urban,1,pre,27.696005411651594,19.86549250133403
2025-10-04,5,urban,1,pre,29.11600997434327,28.733745518758862
2025-10-05,5,urban,1,pre,28.53947434883753,22.40053749478566
2025-10-06,5,urban,1,pre,26.34525528869401,23.12515468062712
2025-10-07,5,urban,1,pre,26.34525528869401,26.596188820344842
2025-10-08,5,urban,1,pre,26.34525528869401,22.180322474026603
2025-10-09,5,urban,1,pre,26.34525528869401,24.394972963396754
2025-10-10,5,urban,1,pre,27.696005411651594,33.87057880401531
2025-10-11,5,urban,1,pre,29.11600997434327,25.943207446745564
2025-10-12,5,urban,1,pre,28.53947434883753,33.73131438818559
2025-10-13,5,urban,1,pre,26.34525528869401,21.017319226521256
2025-10-14,5,urban,1,pre,26.34525528869401,29.290084020592875
2025-10-15,5,urban,1,pre,26.34525528869401,35.149202093632304
2025-10-16,5,urban,1,pre,26.34525528869401,16.070082183052374
2025-10-17,5,urban,1,pre,27.696005411651594,23.615638543741714
2025-10-18,5,urban,1,pre,29.11600997434327,32.678017994342056
2025-10-19,5,urban,1,pre,28.53947434883753,27.40372948218148
2025-10-20,5,urban,1,pre,26.34525528869401,28.375252331519317
2025-10-21,5,urban,1,pre,26.34525528869401,23.347529055599722
2025-10-01,6,urban,0,pre,34.41082730114739,35.01194256662955
2025-10-02,6,urban,0,pre,34.41082730114739,33.35593824743023
2025-10-03,6,urban,0,pre,36.17510814408323,45.69220316734833
2025-10-04,6,urban,0,pre,38.029845600151624,40.0150418887034
2025-10-05,6,urban,0,pre,37.27680420332937,39.880671955930325
2025-10-06,6,urban,0,pre,34.41082730114739,31.689831886768083
2025-10-07,6,urban,0,pre,34.41082730114739,31.213478888130236
2025-10-08,6,urban,0,pre,34.41082730114739,31.5590257086574
2025-10-09,6,urban,0,pre,34.41082730114739,37.235465861031805
